"name"	"label"	"gender"	"churchperson"	"middle_class"	"kinship_id"	"cathar_aff"	"apostle_aff"	"other_heterodoxy_aff"	"deponent"	"redeponent"	"ever_summoned"	"ever_pledged"	"ever_incarcerated"	"ever_tortured"	"inq_FV"	"inq_GV"	"inq_GP"	"inq_BdF"	"non_id_aff"
"P0377"	"Bonacursius de Florentia"	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0
"P0510"	"Cursius Neri Bonelle de Florentia"	1	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0
"P0562"	"Donatus Partis de Florentia"	1	0	1	3	1	0	0	1	1	1	1	0	1	0	1	0	0	0
"P0748"	"Gratiadeus de Ripa de Mantua"	1	0	1	4	0	0	1	1	0	1	1	0	0	1	1	0	0	0
"P1404"	"Paulus dominus Trintinelli"	1	0	1	5	0	0	1	0	0	1	0	0	0	0	1	0	0	0
"P1756"	"Ugutius dominus Tetalasina"	1	0	1	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0003"	"Acursius"	1	0	1	9	0	0	0	0	0	0	0	0	0	0	1	0	0	1
"P0005"	"Acço Iohanini de S. Helena"	1	0	0	11	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0009"	"Adelecta de Solegnano"	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0015"	"Agnexia Francisci"	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0017"	"Agnexia Nasinbenis"	0	0	0	22	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0020"	"Agnex"	0	1	0	25	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0032"	"Albergiptus"	1	1	0	37	0	0	0	1	0	0	0	0	0	0	1	1	0	1
"P0033"	"Albergiptus de Monçorgio"	1	0	0	38	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0035"	"Albertina de Castellario Mantuano"	0	0	0	40	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0038"	"Albertinus de Gaçoli Tinaço de Cremona"	1	0	0	43	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0041"	"Albertinus de Ollis"	1	0	0	46	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0043"	"Albertinus de Mantua"	1	0	1	48	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0046"	"Albertinus"	1	0	0	51	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0048"	"Albertinus de Apoxa"	1	1	0	53	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0050"	"Albertinus de Varignana"	1	1	0	55	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0052"	"Albertus de Adygheriis"	1	0	0	57	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0055"	"Albertus de Bayso"	1	1	0	60	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0056"	"Albertus"	1	0	1	61	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0057"	"Albertus de Lanceis"	1	0	1	62	0	0	1	1	0	1	0	0	0	0	1	0	0	0
"P0059"	"Albertus"	1	0	1	64	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0060"	"Albertus Carbonis"	1	0	1	65	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0061"	"Albertus de Cazanimicis"	1	0	0	66	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0063"	"Albertus Ferarexe"	1	0	0	68	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0067"	"Albertus de Olmo"	1	0	0	72	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0069"	"Albertus de Trento"	1	0	0	74	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0071"	"Aldrevandinus de Aglano"	1	0	0	76	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0072"	"Aldrevandinus de Montebellio"	1	0	0	77	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0074"	"Aldrevandinus de Rodiano"	1	0	0	79	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0080"	"Allamaninus"	1	0	0	84	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0082"	"Amadeus de Parma"	1	0	1	86	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0083"	"Amadeus de Balugola"	1	0	0	87	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0087"	"Amadore"	1	0	1	91	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0089"	"Ambrosinus"	1	0	0	93	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0091"	"Amicus Pacis"	1	0	1	95	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0093"	"Andalo de Fabianis"	1	0	0	97	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0094"	"Andaloes de terra Canevelle"	1	0	0	98	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0102"	"Andreas Iohannis"	1	0	1	106	0	0	1	0	0	0	0	0	0	0	1	1	0	0
"P0103"	"Andreas de Marcia"	1	0	0	107	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0104"	"Andreas de Florentia"	1	0	0	108	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0106"	"Andreas de Burgo S. Sepulcri"	1	1	0	110	0	0	0	1	0	1	0	0	0	0	0	1	0	1
"P0110"	"Andriolus Bompetri"	1	0	0	114	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0111"	"Andriolus de Bononia"	1	0	1	115	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0115"	"Angeleria Guidolini"	0	0	0	119	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0116"	"Ansalon de Monçorgio"	1	0	0	120	0	1	0	1	0	1	0	0	0	0	1	0	0	0
"P0117"	"Ansvysia de Fregnano"	0	0	0	121	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0118"	"Ansvisya de Mutina"	0	0	0	122	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0123"	"Anthonius de Feraria"	1	1	0	127	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0124"	"Anthonius de Parma"	1	0	0	128	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0125"	"Anthonius"	1	0	1	129	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0126"	"Anthonius de Plumatio"	1	0	0	130	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0129"	"Antilia"	0	0	0	133	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0132"	"Arardus de Puteo"	1	0	0	135	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0140"	"Aspectatus de Sancta Helena"	1	0	0	142	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0142"	"Attolinus de Castlerano de Regio"	1	0	0	144	0	0	1	1	0	1	1	0	0	0	1	0	0	0
"P0145"	"Avancius de Funi"	1	0	0	147	1	0	0	0	0	1	1	0	0	0	1	0	0	0
"P0146"	"Avançus de Mantua"	1	0	1	148	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0147"	"Avenente de Prato"	0	0	0	149	1	0	0	0	0	0	0	0	0	0	1	0	0	0
